# Logfile created on 2016-04-30 17:23:22 +0530 by logger.rb/41954
D, [2016-04-30T17:23:22.001855 #8856] DEBUG -- : ID:        0fc96f30-f0f8-0133-8c7b-0bf7cfbd694f
D, [2016-04-30T17:23:22.001855 #8856] DEBUG -- : Scenario:  | WOMEN | JOIN THE FREE |
D, [2016-04-30T17:23:22.001855 #8856] DEBUG -- : URL:       http://www.nike.com/us/en_us/
D, [2016-04-30T17:23:22.001855 #8856] DEBUG -- : Test Host: windows 11.16.8.77
D, [2016-04-30T17:23:22.001855 #8856] DEBUG -- : Grid Hub:  
D, [2016-04-30T17:23:22.002855 #8856] DEBUG -- : Browser:   chrome  
D, [2016-04-30T17:23:22.002855 #8856] DEBUG -- : 
D, [2016-04-30T17:24:01.623855 #8856] DEBUG -- : User is navigated to home page
D, [2016-04-30T17:24:01.634855 #8856] DEBUG -- : Step complete: I am on browser home page".
	Ending URL: http://www.nike.com/us/en_us/
	Location: features\website\desktop_nike.feature:11
D, [2016-04-30T17:24:01.634855 #8856] DEBUG -- : 
E, [2016-04-30T17:24:01.637855 #8856] ERROR -- : The following exception occurred when checking for errors on the page: uninitialized constant ErrorHandling
D, [2016-04-30T17:24:01.850855 #8856] DEBUG -- : The header WOMEN is clicked!!
D, [2016-04-30T17:24:01.873855 #8856] DEBUG -- : Step complete: I tap "<category>" in the header".
	Ending URL: http://www.nike.com/us/en_us/
	Location: features\website\desktop_nike.feature:12
D, [2016-04-30T17:24:01.873855 #8856] DEBUG -- : 
E, [2016-04-30T17:24:01.876855 #8856] ERROR -- : The following exception occurred when checking for errors on the page: uninitialized constant ErrorHandling
D, [2016-04-30T17:24:13.902855 #8856] DEBUG -- : The URL and image WOMEN is displayed!!
D, [2016-04-30T17:24:13.914855 #8856] DEBUG -- : Step complete: I should see the URL and header corresponding to "<category>"".
	Ending URL: http://www.nike.com/us/en_us/c/women
	Location: features\website\desktop_nike.feature:13
D, [2016-04-30T17:24:13.914855 #8856] DEBUG -- : 
E, [2016-04-30T17:24:13.917855 #8856] ERROR -- : The following exception occurred when checking for errors on the page: uninitialized constant ErrorHandling
D, [2016-04-30T17:24:16.264855 #8856] DEBUG -- : The text JOIN THE FREE is displayed in the page!!
D, [2016-04-30T17:24:16.276855 #8856] DEBUG -- : Step complete: I should see the <text> text of image in the page".
	Ending URL: http://www.nike.com/us/en_us/c/women
	Location: features\website\desktop_nike.feature:14
D, [2016-04-30T17:24:16.276855 #8856] DEBUG -- : 
E, [2016-04-30T17:24:16.279855 #8856] ERROR -- : The following exception occurred when checking for errors on the page: uninitialized constant ErrorHandling
E, [2016-04-30T17:24:16.342855 #8856] ERROR -- : The following exception occurred when checking for errors on the page: uninitialized constant ErrorHandling
D, [2016-04-30T17:24:18.843855 #8856] DEBUG -- : 
D, [2016-04-30T17:24:18.844855 #8856] DEBUG -- : Finished Scenario: | WOMEN | JOIN THE FREE |
D, [2016-04-30T17:24:18.845855 #8856] DEBUG -- : Status: passed
D, [2016-04-30T17:24:18.845855 #8856] DEBUG -- : Quitting browser instance...
D, [2016-04-30T17:24:23.936855 #8856] DEBUG -- : a var: ["ALLUSERSPROFILE", "C:\\ProgramData"]
D, [2016-04-30T17:24:23.936855 #8856] DEBUG -- : a var: ["ANDROID_HOME", "D:\\AndroidSDK"]
D, [2016-04-30T17:24:23.936855 #8856] DEBUG -- : a var: ["ANSICON", "80x300 (80x25)"]
D, [2016-04-30T17:24:23.936855 #8856] DEBUG -- : a var: ["ANSICON_DEF", "7"]
D, [2016-04-30T17:24:23.936855 #8856] DEBUG -- : a var: ["APPDATA", "C:\\Users\\ganesh.prabhakaran\\AppData\\Roaming"]
D, [2016-04-30T17:24:23.937855 #8856] DEBUG -- : a var: ["BUNDLE_BIN_PATH", "C:/Ruby200/lib/ruby/gems/2.0.0/gems/bundler-1.10.6/bin/bundle"]
D, [2016-04-30T17:24:23.937855 #8856] DEBUG -- : a var: ["BUNDLE_GEMFILE", "D:/repo_QAA/NikeQAA-demo/QAA/Gemfile"]
D, [2016-04-30T17:24:23.937855 #8856] DEBUG -- : a var: ["CommonProgramFiles", "C:\\Program Files\\Common Files"]
D, [2016-04-30T17:24:23.937855 #8856] DEBUG -- : a var: ["COMPUTERNAME", "ASPIRE1098"]
D, [2016-04-30T17:24:23.937855 #8856] DEBUG -- : a var: ["ComSpec", "C:\\Windows\\system32\\cmd.exe"]
D, [2016-04-30T17:24:23.937855 #8856] DEBUG -- : a var: ["DEFLOGDIR", "C:\\ProgramData\\McAfee\\DesktopProtection"]
D, [2016-04-30T17:24:23.937855 #8856] DEBUG -- : a var: ["DellClientSystemUpdatePath", "C:\\Program Files\\Dell\\ClientSystemUpdate\\"]
D, [2016-04-30T17:24:23.938855 #8856] DEBUG -- : a var: ["DEVICE", "Chrome"]
D, [2016-04-30T17:24:23.938855 #8856] DEBUG -- : a var: ["FP_NO_HOST_CHECK", "NO"]
D, [2016-04-30T17:24:23.938855 #8856] DEBUG -- : a var: ["GEM_HOME", "C:/Ruby200/lib/ruby/gems/2.0.0"]
D, [2016-04-30T17:24:23.938855 #8856] DEBUG -- : a var: ["GEM_PATH", "C:/Ruby200/lib/ruby/gems/2.0.0;C:/Users/ganesh.prabhakaran/.gem/ruby/2.0.0"]
D, [2016-04-30T17:24:23.938855 #8856] DEBUG -- : a var: ["HOME", "C:/Users/ganesh.prabhakaran"]
D, [2016-04-30T17:24:23.938855 #8856] DEBUG -- : a var: ["HOMEDRIVE", "C:"]
D, [2016-04-30T17:24:23.938855 #8856] DEBUG -- : a var: ["HOMEPATH", "\\Users\\ganesh.prabhakaran"]
D, [2016-04-30T17:24:23.938855 #8856] DEBUG -- : a var: ["IBM_DB_HOME", "C:\\Program Files\\jruby\\bin"]
D, [2016-04-30T17:24:23.938855 #8856] DEBUG -- : a var: ["JAVA_HOME", "C:\\Program Files\\Java\\jdk1.7.0_05"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["LOCALAPPDATA", "C:\\Users\\ganesh.prabhakaran\\AppData\\Local"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["LOGONSERVER", "\\\\ASPBS-02"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["M2_HOME", "E:\\Ant\\apache-maven-3.0.3"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["MAGICK_CODER_MODULE_PATH", "C:/Ruby200/lib/ruby/gems/2.0.0/gems/win32screenshot-1.0.10/lib/win32/../../ext/modules/coders"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["NUMBER_OF_PROCESSORS", "4"]
D, [2016-04-30T17:24:23.939855 #8856] DEBUG -- : a var: ["OS", "Windows_NT"]
